Gender,Event,Location,Year,Medal,Name,Nationality,Result,Age,Weight,Height,seconds
W,Shot Put Women,Helsinki,1952,G,Galina ZYBINA,URS,15.28,23,176,65,
W,Shot Put Women,Helsinki,1952,S,Marianne WERNER,GER,14.57,28,188,73,
W,Shot Put Women,Helsinki,1952,B,Klavdiya TOCHENOVA,URS,14.5,20,168,56,
W,Shot Put Women,Rome,1960,G,Tamara PRESS,URS,17.32,27,159,58,
W,Shot Put Women,Rome,1960,S,Johanna L’ÛÎ“TTGE,EUA,16.61,25,170,62,
W,Shot Put Women,Rome,1960,B,Earlene BROWN,USA,16.42,21,172,66,
W,Shot Put Women,Tokyo,1964,G,Tamara PRESS,URS,18.14,24,173,61,
W,Shot Put Women,Tokyo,1964,S,Renate GARISCH-CULMBERGER-BOY,EUA,17.61,18,176,60,
W,Shot Put Women,Tokyo,1964,B,Galina ZYBINA,URS,17.45,27,168,58,
W,Shot Put Women,Mexico,1968,G,Margitta HELMBOLD-GUMMEL,GDR,19.61,29,164,55,
W,Shot Put Women,Mexico,1968,S,Marita LANGE,GDR,18.78,22,168,61,
W,Shot Put Women,Mexico,1968,B,Nadezhda CHIZHOVA,URS,18.19,30,163,55,
W,Shot Put Women,Munich,1972,G,Nadezhda CHIZHOVA,URS,21.03,25,174,69,
W,Shot Put Women,Munich,1972,S,Margitta HELMBOLD-GUMMEL,GDR,20.22,30,167,52,
W,Shot Put Women,Munich,1972,B,Ivanka KHRISTOVA,BUL,19.35,26,172,58,
W,Shot Put Women,Montreal,1976,G,Ivanka KHRISTOVA,BUL,21.16,25,171,63,
W,Shot Put Women,Montreal,1976,S,Nadezhda CHIZHOVA,URS,20.96,18,170,57,
W,Shot Put Women,Montreal,1976,B,Helena FIBINGEROV’ÛÎ,TCH,20.67,30,170,62,
W,Shot Put Women,Moscow,1980,G,Ilona SCHOKNECHT-SLUPIANEK,GDR,22.41,20,169,60,
W,Shot Put Women,Moscow,1980,S,Esfira DOLCHENKO-KRACHEVSKAYA,URS,21.42,25,169,60,
W,Shot Put Women,Moscow,1980,B,Margitta DROESE-PUFE,GDR,21.2,25,165,60,
W,Shot Put Women,Los Angeles,1984,G,Claudia LOSCH,FRG,20.48,22,172,63,
W,Shot Put Women,Los Angeles,1984,S,Mihaela LOGHIN,ROU,20.47,23,172,64,
W,Shot Put Women,Los Angeles,1984,B,Gael MARTIN,AUS,19.19,23,178,67,
W,Shot Put Women,Barcelona,1992,G,Svetlana KRIVELYOVA,EUN,21.06,27,181,68,
W,Shot Put Women,Barcelona,1992,S,Zhihong HUANG,CHN,20.47,25,178,60,
W,Shot Put Women,Barcelona,1992,B,Kathrin NEIMKE,GER,19.78,30,178,70,
W,Shot Put Women,Atlanta,1996,G,Astrid KUMBERNUSS,GER,20.56,24,164,57,
W,Shot Put Women,Atlanta,1996,S,Xinmei SUI,CHN,19.88,26,181,60,
W,Shot Put Women,Atlanta,1996,B,Irina KHUDOROZHKINA,RUS,19.35,34,178,70,
W,Shot Put Women,Sydney,2000,G,Yanina KAROLCHIK,BLR,20.56,35,181,68,
W,Shot Put Women,Sydney,2000,S,Larisa PELESHENKO,RUS,19.92,30,181,60,
W,Shot Put Women,Sydney,2000,B,Astrid KUMBERNUSS,GER,19.62,23,182,59,
W,Shot Put Women,Athens,2004,G,Yumileidi CUMBA,CUB,19.59,28,170,61,
W,Shot Put Women,Athens,2004,S,Nadine KLEINERT-SCHMITT,GER,19.55,22,171,56,
W,Shot Put Women,Beijing,2008,G,Valerie ADAMS,NZL,20.56,32,173,61,
W,Shot Put Women,London,2012,G,Valerie ADAMS,NZL,20.7,25,173,61,
W,Shot Put Women,London,2012,B,Lijiao GONG,CHN,20.22,26,166,58,
W,Shot Put Women,Rio,2016,G,Michelle CARTER,USA,20.63,30,168,58,
W,Shot Put Women,Rio,2016,S,Valerie ADAMS,NZL,20.42,29,173,61,
W,Shot Put Women,Rio,2016,B,Anita MARTON,HUN,19.87,26,176,65,
M,Shot Put Men,Athens,1896,G,Robert GARRETT,USA,11.22,20,188,81,
M,Shot Put Men,Paris,1900,B,Robert GARRETT,USA,12.35,24,188,81,
M,Shot Put Men,St Louis,1904,G,Ralph ROSE,USA,14.81,20,195,115,
M,Shot Put Men,St Louis,1904,S,Wesley COE,USA,14.4,26,178,95,
M,Shot Put Men,London,1908,G,Ralph ROSE,USA,14.21,24,195,115,
M,Shot Put Men,London,1908,S,Denis HORGAN,GBR,13.62,36,178,106,
M,Shot Put Men,London,1908,B,John GARRELLS,USA,13.18,22,185,89,
M,Shot Put Men,Stockholm,1912,G,Patrick MCDONALD,USA,15.34,33,190,120,
M,Shot Put Men,Stockholm,1912,S,Ralph ROSE,USA,15.25,28,195,115,
M,Shot Put Men,Stockholm,1912,B,Lawrence WHITNEY,USA,13.93,21,180,86,
M,Shot Put Men,Paris,1924,G,Bud HOUSER,USA,14.995,22,185,85,
M,Shot Put Men,Paris,1924,S,Glenn HARTRANFT,USA,14.895,22,190,115,
M,Shot Put Men,Paris,1924,B,Ralph HILLS,USA,14.64,22,185,95,
M,Shot Put Men,Los Angeles,1932,G,Leo SEXTON,USA,16,22,193,108,
M,Shot Put Men,Los Angeles,1932,S,Harlow ROTHERT,USA,15.67,24,190,92,
M,Shot Put Men,Los Angeles,1932,B,Franti?ek DOUDA,TCH,15.61,23,192,96,
