Gender,Event,Location,Year,Medal,Name,Nationality,Result,seconds,,"*calculated milisec fro 1000M, 1500M, 800M"
M,100M Men,Rio,2016,G,Usain BOLT,JAM,9.81,9.81,,
M,100M Men,Rio,2016,S,Justin GATLIN,USA,9.89,9.89,,
M,100M Men,Rio,2016,B,Andre DE GRASSE,CAN,9.91,9.91,,
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,9.69,9.69,,
M,100M Men,Beijing,2008,S,Richard THOMPSON,TTO,9.89,9.89,,
M,100M Men,Beijing,2008,B,Walter DIX,USA,9.91,9.91,,
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,9.87,9.87,,
M,100M Men,Sydney,2000,S,Ato BOLDON,TTO,9.99,9.99,,
M,100M Men,Sydney,2000,B,Obadele THOMPSON,BAR,10.04,10.04,,
M,100M Men,Barcelona,1992,G,Linford CHRISTIE,GBR,9.96,9.96,,
M,100M Men,Barcelona,1992,S,Frank FREDERICKS,NAM,10.02,10.02,,
M,100M Men,Barcelona,1992,B,Dennis MITCHELL,USA,10.04,10.04,,
M,100M Men,Los Angeles,1984,G,Carl LEWIS,USA,9.99,9.99,,
M,100M Men,Los Angeles,1984,S,Sam GRADDY,USA,10.19,10.19,,
M,100M Men,Los Angeles,1984,B,Ben JOHNSON,CAN,10.22,10.22,,
M,100M Men,Montreal,1976,G,Hasely CRAWFORD,TTO,10.06,10.06,,
M,100M Men,Montreal,1976,S,Donald QUARRIE,JAM,10.08,10.08,,
M,100M Men,Montreal,1976,B,Valery BORZOV,URS,10.14,10.14,,
M,100M Men,Mexico,1968,G,Jim HINES,USA,9.9,9.9,,
M,100M Men,Mexico,1968,S,Lennox MILLER,JAM,10,10,,
M,100M Men,Mexico,1968,B,Charlie GREENE,USA,10,10,,
M,100M Men,Rome,1960,G,Armin HARY,EUA,10.2,10.2,,
M,100M Men,Rome,1960,S,Dave SIME,USA,10.2,10.2,,
M,100M Men,Rome,1960,B,Peter RADFORD,GBR,10.3,10.3,,
M,100M Men,Helsinki,1952,G,Lindy REMIGINO,USA,10.4,10.4,,
M,100M Men,Helsinki,1952,S,Herbert MCKENLEY,JAM,10.4,10.4,,
M,100M Men,Helsinki,1952,B,Emmanuel McDONALD BAILEY,GBR,10.4,10.4,,
M,100M Men,Berlin,1936,G,Jesse OWENS,USA,10.3,10.3,,
M,100M Men,Berlin,1936,S,Ralph METCALFE,USA,10.4,10.4,,
M,100M Men,Berlin,1936,B,Martinus OSENDARP,NED,10.5,10.5,,
M,100M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,10.8,10.8,,
M,100M Men,Amsterdam,1928,S,Jack LONDON,GBR,10.9,10.9,,
M,100M Men,Amsterdam,1928,B,Georg LAMMERS,GER,10.9,10.9,,
M,100M Men,Antwerp,1920,G,Charles PADDOCK,USA,10.8,10.8,,
M,100M Men,Antwerp,1920,S,Morris KIRKSEY,USA,10.8,10.8,,
M,100M Men,Antwerp,1920,B,Harry EDWARD,GBR,10.9,10.9,,
M,100M Men,London,1908,G,Reggie WALKER,RSA,10.8,10.8,,
M,100M Men,Paris,1900,G,Frank JARVIS,USA,11,11,,
M,100M Men,Paris,1900,S,Walter TEWKSBURY,USA,11.1,11.1,,
M,100M Men,Paris,1900,B,Stanley ROWLEY,AUS,11.2,11.2,,
M,100M Men,London,2012,G,Usain BOLT,JAM,9.63,9.63,,
M,100M Men,London,2012,S,Yohan BLAKE,JAM,9.75,9.75,,
M,100M Men,London,2012,B,Justin GATLIN,USA,9.79,9.79,,
M,100M Men,Athens,2004,G,Justin GATLIN,USA,9.85,9.85,,
M,100M Men,Athens,2004,S,Francis OBIKWELU,POR,9.86,9.86,,
M,100M Men,Athens,2004,B,Maurice GREENE,USA,9.87,9.87,,
M,100M Men,Atlanta,1996,G,Donovan BAILEY,CAN,9.84,9.84,,
M,100M Men,Atlanta,1996,S,Frank FREDERICKS,NAM,9.89,9.89,,
M,100M Men,Atlanta,1996,B,Ato BOLDON,TTO,9.9,9.9,,
M,100M Men,Moscow,1980,G,Allan WELLS,GBR,10.25,10.25,,
M,100M Men,Moscow,1980,S,Silvio LEONARD SARRIA,CUB,10.25,10.25,,
M,100M Men,Moscow,1980,B,Peter PETROV,BUL,10.39,10.39,,
M,100M Men,Munich,1972,G,Valery BORZOV,URS,10.14,10.14,,
M,100M Men,Munich,1972,S,Robert TAYLOR,USA,10.24,10.24,,
M,100M Men,Munich,1972,B,Lennox MILLER,JAM,10.33,10.33,,
M,100M Men,Tokyo,1964,G,Bob HAYES,USA,10,10,,
M,100M Men,Tokyo,1964,S,Enrique FIGUEROLA,CUB,10.2,10.2,,
M,100M Men,Tokyo,1964,B,Harry JEROME,CAN,10.2,10.2,,
M,100M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,10.5,10.5,,
M,100M Men,Melbourne / Stockholm,1956,S,Thane BAKER,USA,10.5,10.5,,
M,100M Men,Melbourne / Stockholm,1956,B,Hector HOGAN,AUS,10.6,10.6,,
M,100M Men,London,1948,G,Harrison DILLARD,USA,10.3,10.3,,
M,100M Men,London,1948,S,Barney EWELL,USA,10.4,10.4,,
M,100M Men,London,1948,B,Lloyd LABEACH,PAN,10.6,10.6,,
M,100M Men,Los Angeles,1932,G,Eddie TOLAN,USA,10.3,10.3,,
M,100M Men,Los Angeles,1932,S,Ralph METCALFE,USA,10.3,10.3,,
M,100M Men,Los Angeles,1932,B,Arthur JONATH,GER,10.4,10.4,,
M,100M Men,Paris,1924,G,Harold ABRAHAMS,GBR,10.6,10.6,,
M,100M Men,Paris,1924,S,Jackson SCHOLZ,USA,10.7,10.7,,
M,100M Men,Paris,1924,B,Arthur PORRITT,NZL,10.8,10.8,,
M,100M Men,Stockholm,1912,G,Ralph CRAIG,USA,10.8,10.8,,
M,100M Men,Stockholm,1912,S,Alvah MEYER,USA,10.9,10.9,,
M,100M Men,Stockholm,1912,B,Donald LIPPINCOTT,USA,10.9,10.9,,
M,100M Men,St Louis,1904,G,Archie HAHN,USA,11,11,,
M,100M Men,St Louis,1904,S,Nate CARTMELL,USA,11.2,11.2,,
M,100M Men,St Louis,1904,B,William HOGENSON,USA,11.2,11.2,,
M,100M Men,Athens,1896,G,Thomas BURKE,USA,12,12,,
M,100M Men,Athens,1896,S,Fritz HOFMANN,GER,12.2,12.2,,
M,100M Men,Athens,1896,B,Alajos SZOKOLYI,HUN,12.6,12.6,,
M,100M Men,Athens,1896,B,Francis LANE,USA,12.6,12.6,,
M,1500M Men,Rio,2016,G,Matthew CENTROWITZ,USA,03:50.0,230.00,,
M,1500M Men,Rio,2016,S,Taoufik MAKHLOUFI,ALG,03:50.1,230.10,,
M,1500M Men,Rio,2016,B,Nicholas WILLIS,NZL,03:50.2,230.20,,
M,1500M Men,Beijing,2008,G,Asbel Kipruto KIPROP,KEN,03:33.1,213.10,,
M,1500M Men,Beijing,2008,S,Nicholas WILLIS,NZL,03:34.2,214.20,,
M,1500M Men,Beijing,2008,B,Medhi BAALA,FRA,03:34.2,214.20,,
M,1500M Men,Sydney,2000,G,Noah Kiprono NGENYI,KEN,03:32.1,212.10,,
